,Income,NumWebVisitsMonth,TotalChild,Basic,Graduation,Master,PhD,Married,Single,1,1950,1960,1970,1980,1990
0,58138.0,7,0,0,1,0,0,0,1,0,1,0,0,0,0
1,46344.0,5,2,0,1,0,0,0,1,1,1,0,0,0,0
2,71613.0,4,0,0,1,0,0,1,0,0,0,1,0,0,0
3,26646.0,6,1,0,1,0,0,1,0,1,0,0,0,1,0
4,58293.0,5,1,0,0,0,1,1,0,1,0,0,0,1,0
5,62513.0,6,1,0,0,1,0,1,0,1,0,1,0,0,0
6,55635.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
7,33454.0,8,1,0,0,0,1,1,0,1,0,0,0,1,0
8,30351.0,9,1,0,0,0,1,1,0,1,0,0,1,0,0
9,7500.0,8,0,1,0,0,0,1,0,0,0,0,1,0,0
10,63033.0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
11,59354.0,6,2,0,0,1,0,0,0,1,1,0,0,0,0
12,17323.0,8,0,0,1,0,0,1,0,0,0,0,0,1,0
13,82800.0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
14,41850.0,8,2,0,1,0,0,1,0,1,0,0,0,1,0
15,37760.0,7,0,0,1,0,0,1,0,0,0,0,0,0,0
16,76995.0,5,1,0,0,1,0,1,0,1,0,0,0,0,0
17,33812.0,6,1,0,0,0,0,0,1,1,0,0,0,1,0
18,37040.0,8,0,0,1,0,0,1,0,0,0,0,0,1,0
19,58607.0,8,1,0,0,0,1,1,0,1,0,0,0,0,0
20,65324.0,4,1,0,0,0,1,1,0,1,1,0,0,0,0
21,40689.0,8,1,0,1,0,0,1,0,1,1,0,0,0,0
22,18589.0,7,0,0,1,0,0,0,1,0,0,1,0,0,0
23,53359.0,7,2,0,1,0,0,1,0,1,0,0,1,0,0
24,38360.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0
25,84618.0,2,0,0,0,0,1,1,0,0,0,1,0,0,0
26,10979.0,5,0,0,0,1,0,0,0,0,0,0,0,1,0
27,38620.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
28,40548.0,5,1,0,1,0,0,1,0,1,0,0,1,0,0
29,46610.0,6,2,0,0,0,1,0,0,1,1,0,0,0,0
30,68657.0,7,0,0,0,1,0,1,0,0,0,0,0,0,0
31,49389.0,7,2,0,0,1,0,0,1,1,1,0,0,0,0
32,67353.0,2,1,0,0,0,1,1,0,1,0,0,1,0,0
33,23718.0,7,1,0,0,0,0,1,0,1,0,0,1,0,0
34,42429.0,5,1,0,1,0,0,0,0,1,0,0,1,0,0
35,48948.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
36,80011.0,4,1,0,1,0,0,1,0,1,0,0,0,1,0
37,20559.0,8,1,0,0,1,0,1,0,1,0,0,0,1,0
38,21994.0,5,1,0,1,0,0,1,0,1,1,0,0,0,0
39,7500.0,5,1,0,0,1,0,1,0,1,0,0,1,0,0
40,79941.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
41,7500.0,9,0,0,0,0,0,1,0,0,0,0,0,0,1
42,72550.0,8,2,0,0,0,1,1,0,1,1,0,0,0,0
43,65486.0,2,1,0,1,0,0,0,0,1,1,0,0,0,0
44,79143.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
45,35790.0,7,1,0,1,0,0,0,1,1,0,0,1,0,0
46,82582.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
47,66373.0,3,2,0,1,0,0,1,0,1,0,0,1,0,0
48,82384.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
49,70287.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
50,27938.0,3,1,0,1,0,0,0,1,1,0,0,0,1,0
51,55954.0,7,1,0,0,0,1,1,0,1,0,1,0,0,0
52,75777.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
53,66653.0,3,2,0,1,0,0,1,0,1,0,0,1,0,0
54,61823.0,7,1,0,1,0,0,0,1,1,1,0,0,0,0
55,67680.0,5,1,0,0,0,1,0,0,1,1,0,0,0,0
56,70666.0,4,0,0,1,0,0,1,0,0,0,0,0,0,0
57,25721.0,7,1,0,1,0,0,1,0,1,0,0,1,0,0
58,32474.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
59,88194.0,5,1,0,0,0,0,0,1,1,0,0,1,0,0
60,69096.0,4,1,0,1,0,0,1,0,1,1,0,0,0,0
61,74854.0,5,3,0,1,0,0,1,0,1,0,0,1,0,0
62,66991.0,3,0,0,0,1,0,1,0,0,1,0,0,0,0
63,65031.0,7,1,0,1,0,0,1,0,1,1,0,0,0,0
64,60631.0,7,2,0,0,0,1,1,0,1,0,0,1,0,0
65,28332.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
66,40246.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
67,75251.0,5,0,0,0,1,0,1,0,0,0,0,1,0,0
68,75825.0,4,0,0,1,0,0,0,1,0,0,0,1,0,0
69,26326.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
70,56046.0,8,0,0,1,0,0,1,0,0,0,1,0,0,0
71,29760.0,8,1,0,1,0,0,0,1,1,0,0,0,1,0
72,26304.0,7,1,0,1,0,0,1,0,1,0,1,0,0,0
73,23559.0,7,1,0,0,0,0,1,0,1,0,0,1,0,0
74,38620.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
75,81361.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
76,29440.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
77,36138.0,7,2,0,0,1,0,1,0,1,0,0,1,0,0
78,50388.0,7,1,0,1,0,0,0,1,1,1,0,0,0,0
79,79593.0,2,0,0,1,0,0,1,0,0,0,0,1,0,0
80,54178.0,2,1,0,1,0,0,1,0,1,0,1,0,0,0
81,42394.0,7,1,0,0,1,0,0,1,1,0,0,1,0,0
82,23626.0,5,1,0,0,0,1,1,0,1,0,0,1,0,0
83,30096.0,6,1,0,1,0,0,1,0,1,0,0,0,1,0
84,47916.0,6,1,0,1,0,0,0,0,1,0,1,0,0,0
85,51813.0,7,2,0,1,0,0,0,0,1,0,0,1,0,0
86,78497.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
87,50150.0,5,0,0,0,0,1,1,0,0,0,0,0,1,0
88,47823.0,8,1,0,0,0,0,0,1,1,0,1,0,0,0
89,34554.0,6,1,0,0,0,1,0,1,1,1,0,0,0,0
90,85693.0,5,1,0,1,0,0,1,0,1,0,0,1,0,0
91,65846.0,4,0,0,0,0,1,1,0,0,0,0,0,0,0
92,87195.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
93,24594.0,5,1,1,0,0,0,1,0,1,0,0,1,0,0
94,49096.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
95,52413.0,6,2,0,1,0,0,1,0,1,0,1,0,0,0
96,38557.0,7,1,0,1,0,0,0,1,1,0,0,1,0,0
97,89058.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
98,77298.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0
99,68126.0,9,0,0,0,0,1,0,1,0,0,0,0,0,1
100,57288.0,6,1,0,0,1,0,1,0,1,0,1,0,0,0
101,86037.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
102,43974.0,7,1,0,0,0,1,1,0,1,0,0,0,1,0
103,50785.0,6,2,0,1,0,0,0,1,1,0,1,0,0,0
104,90765.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
105,36550.0,9,1,0,0,0,0,1,0,1,0,0,1,0,0
106,30753.0,5,2,0,0,0,0,1,0,1,0,1,0,0,0
107,21918.0,6,1,0,1,0,0,1,0,1,0,1,0,0,0
108,56129.0,4,1,0,0,1,0,1,0,1,1,0,0,0,0
109,32557.0,5,1,0,0,1,0,0,1,1,0,1,0,0,0
110,19510.0,7,2,0,0,1,0,1,0,1,0,0,0,1,0
111,30992.0,7,1,0,1,0,0,0,0,1,0,0,1,0,0
112,71488.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
113,79607.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
114,54348.0,6,2,0,0,1,0,1,0,1,1,0,0,0,0
115,77376.0,4,2,0,0,0,1,1,0,1,1,0,0,0,0
116,62998.0,5,1,0,1,0,0,1,0,1,1,0,0,0,0
