,MntGoldProds,MntGroceryProducts,MntWines,TotalPurchase
0,88,806,635,25
1,6,9,11,6
2,42,287,426,21
3,5,34,11,8
4,15,207,173,19
5,14,140,520,22
6,27,279,235,21
7,23,69,76,10
8,2,27,14,6
9,16,38,6,6
10,30,766,194,16
11,14,58,233,15
12,5,37,3,5
13,45,196,1006,26
14,4,26,53,9
15,28,193,84,13
16,176,578,1012,26
17,39,66,4,8
18,48,144,86,12
19,19,86,867,17
20,5,123,384,20
21,99,69,270,20
22,13,44,6,8
23,41,37,173,14
24,10,64,36,9
25,0,922,684,26
26,4,16,8,8
27,89,95,112,11
28,3,7,110,9
29,43,141,96,17
30,22,624,482,18
31,3,21,40,6
32,35,168,702,28
33,36,32,6,9
34,4,8,55,7
35,42,374,437,24
36,102,694,421,21
37,7,33,13,7
38,3,9,9,4
39,12,14,3,8
40,174,657,123,16
41,50,47,3,10
42,38,417,826,28
43,14,181,245,17
44,32,844,650,29
45,3,56,12,7
46,241,826,510,21
47,109,145,328,23
48,190,663,984,27
49,40,638,295,21
50,5,10,13,6
51,43,28,447,19
52,80,633,712,21
53,6,136,452,22
54,169,178,523,24
55,6,48,546,19
56,30,526,398,16
57,15,12,1,5
58,0,1,10,4
59,38,524,688,32
60,109,215,247,18
61,73,604,856,19
62,12,685,496,21
63,86,482,258,30
64,19,71,565,24
65,9,27,14,8
66,1,9,2,4
67,18,1133,721,19
68,51,1021,1032,22
69,9,5,1,4
70,51,64,577,21
71,17,79,64,12
72,4,8,4,4
73,23,31,25,9
74,89,95,112,11
75,76,474,163,27
76,3,32,17,7
77,5,16,130,13
78,34,43,292,17
79,145,738,350,19
80,7,52,135,10
81,4,12,15,5
82,0,16,27,10
83,9,26,5,6
84,75,26,505,22
85,2,9,51,7
86,223,548,207,25
87,11,203,135,16
88,10,8,53,7
89,5,9,41,7
90,111,540,386,27
91,81,437,562,16
92,38,816,217,20
93,9,19,1,5
94,7,35,144,13
95,65,452,295,26
96,27,38,76,9
97,43,331,454,14
98,79,430,425,24
99,86,351,1332,17
100,60,21,527,20
101,22,198,490,25
102,72,101,378,21
103,27,22,64,8
104,33,1062,547,15
105,120,307,47,20
106,30,30,12,7
107,3,24,1,7
108,48,220,320,22
109,10,32,34,9
110,7,10,9,6
111,2,21,17,5
112,172,197,162,16
113,216,1257,450,16
114,4,16,70,8
115,12,145,492,23
116,58,196,120,19
117,41,52,534,23
118,130,318,236,19
119,23,36,220,16
120,0,642,796,23
121,9,14,0,6
122,16,37,53,9
123,20,12,15,6
124,4,16,17,7
125,20,1034,962,22
126,50,245,738,17
127,126,820,399,23
128,33,191,614,25
129,116,148,32,12
130,49,189,598,15
131,16,39,2,6
132,4,11,6,4
133,32,105,73,16
134,8,57,42,8
135,13,138,295,16
