,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntGroceryProducts,TotalPurchase,YearRange,TotalChild,HaveChild
0,1957,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,806,25,1950,0,0
1,1954,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,9,6,1950,2,1
2,1965,Graduation,Married,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,287,21,1960,0,0
3,1984,Graduation,Married,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,34,8,1980,1,1
4,1981,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,207,19,1980,1,1
5,1967,Master,Married,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,140,22,1960,1,1
6,1971,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,279,21,1970,1,1
7,1985,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,69,10,1980,1,1
8,1974,PhD,Married,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,27,6,1970,1,1
9,1976,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,38,6,1970,0,0
10,1959,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,766,16,1950,0,0
11,1952,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,58,15,1950,2,1
12,1987,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,37,5,1980,0,0
13,1946,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,196,26,1940,0,0
14,1980,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,26,9,1980,2,1
15,1946,Graduation,Married,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,193,13,1940,0,0
16,1949,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,578,26,1940,1,1
17,1985,2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,66,8,1980,1,1
18,1982,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,144,12,1980,0,0
19,1949,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,86,17,1940,1,1
20,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,123,20,1950,1,1
21,1951,Graduation,Married,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,69,20,1950,1,1
22,1969,Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,44,8,1960,0,0
23,1976,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,37,14,1970,2,1
24,1989,Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,64,9,1980,1,1
25,1965,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,922,26,1960,0,0
26,1989,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,16,8,1980,0,0
27,1963,Master,Married,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,95,11,1960,0,0
28,1970,Graduation,Married,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,7,9,1970,1,1
29,1952,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,141,17,1950,2,1
30,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,624,18,1940,0,0
31,1951,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,21,6,1950,2,1
32,1970,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,168,28,1970,1,1
33,1976,2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,32,9,1970,1,1
34,1973,Graduation,Divorced,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,8,7,1970,1,1
35,1943,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,374,24,1940,0,0
36,1980,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,694,21,1980,1,1
37,1985,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,33,7,1980,1,1
38,1957,Graduation,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,9,4,1950,1,1
