,AcceptedCmp,Complain,Dt_Customer,Education,HaveChild,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntGroceryProducts,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,TotalChild,TotalPurchase,Unnamed: 0,YearRange,Year_Birth
0,1,0,04-09-2012,Graduation,0,58138.0,0,Single,172,88,88,806,546,88,635,10,3,4,8,7,58,0,0,25,0,1950,1957
1,0,0,08-03-2014,Graduation,1,46344.0,1,Single,2,1,6,9,6,1,11,1,2,2,1,5,38,1,2,6,1,1950,1954
2,0,0,21-08-2013,Graduation,0,71613.0,0,Married,111,49,42,287,127,21,426,2,1,10,8,4,26,0,0,21,2,1960,1965
3,0,0,10-02-2014,Graduation,1,26646.0,1,Married,10,4,5,34,20,3,11,0,2,4,2,6,26,0,1,8,3,1980,1984
4,0,0,19-01-2014,PhD,1,58293.0,1,Married,46,43,15,207,118,27,173,3,5,6,5,5,94,0,1,19,4,1980,1981
5,0,0,09-09-2013,Master,1,62513.0,0,Married,0,42,14,140,98,42,520,4,2,10,6,6,16,1,1,22,5,1960,1967
6,0,0,13-11-2012,Graduation,1,55635.0,0,Divorced,50,65,27,279,164,49,235,3,4,7,7,6,34,1,1,21,6,1970,1971
7,0,0,08-05-2013,PhD,1,33454.0,1,Married,3,10,23,69,56,1,76,0,2,4,4,8,32,0,1,10,7,1980,1985
8,1,0,06-06-2013,PhD,1,30351.0,1,Married,3,0,2,27,24,3,14,0,1,2,3,9,19,0,1,6,8,1970,1974
9,0,0,15-11-2013,Graduation,1,51222.5,1,Married,0,5,1,11,6,2,5,0,1,2,1,7,11,0,1,4,9,1980,1983
10,0,0,13-11-2012,Basic,0,7500.0,0,Married,11,16,16,38,11,1,6,0,1,3,2,8,59,0,0,6,10,1970,1976
11,0,0,15-11-2013,Graduation,0,63033.0,0,Divorced,225,61,30,766,480,112,194,4,1,8,3,2,82,0,0,16,11,1950,1959
12,0,0,15-11-2013,Master,1,59354.0,1,Divorced,3,2,14,58,53,5,233,1,3,5,6,6,53,1,2,15,12,1950,1952
13,0,0,10-10-2012,Graduation,0,17323.0,0,Married,6,14,5,37,17,1,3,0,1,3,1,8,38,0,0,5,13,1980,1987
14,3,0,24-11-2012,PhD,0,82800.0,0,Single,59,22,45,196,115,68,1006,6,1,12,7,3,23,0,0,26,14,1940,1946
15,0,0,24-12-2012,Graduation,1,41850.0,1,Married,2,5,4,26,19,13,53,0,3,3,3,8,51,1,2,9,15,1980,1980
16,0,0,31-08-2012,Graduation,0,37760.0,0,Married,150,5,28,193,38,12,84,1,2,6,4,7,20,0,0,13,16,1940,1946
17,1,0,28-03-2013,Master,1,76995.0,0,Married,0,80,176,578,498,16,1012,4,2,9,11,5,91,1,1,26,17,1940,1949
18,0,0,03-11-2012,2n Cycle,1,33812.0,1,Single,30,17,39,66,19,24,4,1,2,3,2,6,86,0,1,8,18,1980,1985
19,0,0,08-08-2012,Graduation,0,37040.0,0,Married,69,2,48,144,73,38,86,2,1,5,4,8,41,0,0,12,19,1980,1982
20,1,0,23-12-2012,PhD,1,58607.0,0,Married,0,0,19,86,86,0,867,3,3,9,2,8,63,1,1,17,20,1940,1949
21,0,0,11-01-2014,PhD,1,65324.0,0,Married,21,0,5,123,102,32,384,2,3,9,6,4,0,1,1,20,21,1950,1954
22,0,0,18-03-2013,Graduation,1,40689.0,0,Married,39,3,99,69,27,6,270,1,7,5,7,8,69,1,1,20,22,1950,1951
23,0,0,02-01-2013,Graduation,0,18589.0,0,Single,15,4,13,44,25,12,6,1,2,3,2,7,89,0,0,8,23,1960,1969
24,0,0,27-05-2013,Graduation,1,53359.0,1,Married,3,4,41,37,30,6,173,1,4,4,5,7,4,1,2,14,24,1970,1976
25,0,0,31-05-2013,Graduation,1,38360.0,1,Married,20,2,10,64,42,21,36,1,2,4,2,3,26,0,1,9,25,1980,1989
26,1,0,22-11-2013,PhD,0,84618.0,0,Married,21,100,0,922,801,66,684,9,1,10,6,2,96,0,0,26,26,1960,1965
27,0,0,22-05-2014,Master,0,10979.0,0,Divorced,2,4,4,16,10,2,8,0,2,3,3,5,34,0,0,8,27,1980,1989
28,0,0,11-05-2013,Master,0,38620.0,0,Married,34,17,89,95,44,22,112,5,1,3,2,3,56,0,0,11,28,1960,1963
29,1,0,10-10-2012,Graduation,1,40548.0,0,Married,2,0,3,7,5,0,110,1,2,4,2,5,31,1,1,9,29,1970,1970
30,1,0,29-10-2012,PhD,1,46610.0,0,Divorced,33,12,43,141,96,22,96,1,6,6,4,6,8,2,2,17,30,1950,1952
31,0,0,20-02-2013,Master,0,68657.0,0,Married,119,34,22,624,471,68,482,5,1,9,3,7,4,0,0,18,31,1940,1946
32,0,0,29-08-2013,Master,1,49389.0,1,Single,2,0,3,21,19,1,40,0,1,3,2,7,55,1,2,6,32,1950,1951
33,0,0,31-12-2013,PhD,1,67353.0,0,Married,0,17,35,168,151,8,702,6,5,12,5,2,37,1,1,28,33,1970,1970
34,0,0,02-09-2013,2n Cycle,1,23718.0,1,Married,15,3,36,32,14,7,6,1,3,2,3,7,76,0,1,9,34,1970,1976
