,Year_Birth,Education,Marital_Status,Complain,NumWebVisitsMonth,YearRange,HaveChild,AcceptedCmp,Income,Kidhome,Teenhome,Dt_Customer,Recency,TotalChild,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,MntGroceryProducts,TotalPurchase
202,1956,Graduation,Married,0,4,1950,1,0,46097.0,0,1,31-03-2013,11,1,72,24,68,65,4,8,5,3,1,6,157,15
1287,1989,2n Cycle,Married,0,4,1980,1,0,59060.0,1,0,11-01-2014,77,1,35,40,111,36,40,12,3,3,1,7,187,14
198,1988,Graduation,Married,0,9,1980,1,1,29604.0,1,0,08-12-2013,88,1,7,6,13,7,6,14,1,1,0,3,26,5
1097,1973,Master,Divorced,0,7,1970,1,0,52034.0,1,1,17-05-2013,67,2,146,0,93,7,13,73,5,4,2,5,100,16
1671,1989,Graduation,Single,0,7,1980,1,0,18358.0,1,0,20-11-2013,49,1,6,8,19,16,4,4,3,3,0,4,43,10
1285,1965,Master,Married,0,7,1960,1,0,45143.0,0,1,26-08-2013,74,1,202,5,74,11,5,14,3,6,1,5,90,15
317,1984,Graduation,Married,0,7,1980,1,0,27255.0,1,0,07-11-2013,3,1,22,1,11,0,1,2,1,1,0,3,12,5
142,1981,Graduation,Married,1,8,1980,1,0,38547.0,1,0,28-08-2013,49,1,6,1,10,0,1,4,1,1,0,2,11,4
1429,1972,Graduation,Married,0,6,1970,1,0,26290.0,1,1,12-01-2013,49,2,15,8,16,11,5,22,4,2,0,4,35,10
934,1976,Master,Married,0,6,1970,1,0,46106.0,1,1,11-05-2014,84,2,30,0,8,2,0,14,1,1,1,2,10,5
808,1954,Graduation,Married,0,5,1950,1,2,93404.0,1,2,07-05-2013,97,3,1279,15,287,20,0,15,3,3,4,7,322,17
1684,1984,Graduation,Married,0,8,1980,1,0,35196.0,1,0,13-11-2012,68,1,75,12,141,43,39,187,6,6,1,5,196,18
315,1957,Graduation,Married,0,3,1950,0,0,62187.0,0,0,05-07-2013,49,0,792,0,275,45,45,126,1,4,8,5,320,18
838,1973,Master,Married,0,7,1970,1,0,38576.0,0,1,04-03-2014,2,1,34,0,7,0,0,0,1,1,0,3,7,5
170,1948,PhD,Married,0,4,1940,0,3,83837.0,0,0,16-12-2012,79,0,847,66,119,86,89,111,1,9,10,5,271,25
1296,1977,Graduation,Single,1,9,1970,1,2,37774.0,2,0,03-09-2012,28,2,173,8,107,7,2,176,4,7,2,3,122,16
1044,1956,Graduation,Divorced,0,8,1950,0,0,22304.0,0,0,04-08-2012,91,0,3,2,7,0,4,2,1,1,0,2,9,4
1281,1982,Graduation,Married,0,6,1980,0,5,65169.0,0,0,14-01-2014,23,0,1074,0,69,0,0,46,1,10,4,13,69,28
1452,1960,Graduation,Married,0,5,1960,1,0,62807.0,0,1,31-08-2012,83,1,526,28,135,10,21,99,3,5,3,12,173,23
1259,1970,Graduation,Divorced,0,7,1970,1,0,33986.0,1,0,14-03-2013,43,1,16,2,18,2,1,5,1,1,0,3,22,5
881,1986,Graduation,Divorced,0,8,1980,1,0,21846.0,1,0,22-10-2013,38,1,7,17,18,6,10,26,4,4,0,3,41,11
22,1951,Graduation,Married,0,8,1950,1,0,40689.0,0,1,18-03-2013,69,1,270,3,27,39,6,99,7,7,1,5,69,20
1026,1965,2n Cycle,Married,0,3,1960,0,1,70924.0,0,0,07-04-2014,41,0,635,114,254,132,152,76,1,6,6,7,500,20
45,1954,PhD,Married,0,8,1950,1,0,72550.0,1,1,08-11-2012,39,2,826,50,317,50,38,38,9,5,2,12,417,28
784,1951,Graduation,Married,0,6,1950,1,0,34838.0,1,1,19-01-2013,62,2,28,23,29,29,14,47,3,2,1,4,81,10
1376,1970,Master,Married,0,8,1970,1,0,44511.0,1,0,12-10-2012,39,1,513,7,133,46,14,14,6,8,4,8,186,26
61,1971,Graduation,Married,0,7,1970,1,1,25721.0,1,0,21-05-2013,75,1,1,3,6,3,6,15,1,1,1,2,12,5
907,1982,2n Cycle,Single,0,2,1980,0,1,74116.0,0,0,30-12-2013,53,0,871,111,704,145,55,166,1,4,4,10,960,19
1501,1958,2n Cycle,Married,0,7,1950,1,1,53083.0,1,1,15-05-2013,65,2,215,7,33,3,0,13,6,5,1,5,43,17
319,1986,PhD,Single,0,8,1980,1,0,29999.0,1,0,13-02-2013,22,1,68,7,59,10,5,11,4,3,1,4,76,12
184,1978,Basic,Married,0,6,1970,1,1,24882.0,1,0,09-09-2012,52,1,1,4,10,29,0,36,1,1,1,2,43,5
1695,1955,Graduation,Married,0,8,1950,1,1,42586.0,1,1,29-10-2012,7,2,194,2,56,0,0,0,5,4,1,6,58,16
648,1956,Master,Married,0,6,1950,0,0,14661.0,0,0,01-01-2013,88,0,4,1,11,6,2,2,1,1,0,3,18,5
452,1963,Graduation,Married,0,1,1960,0,1,80124.0,0,0,26-06-2014,47,0,483,84,398,205,84,241,1,3,7,8,687,19
641,1958,2n Cycle,Married,0,6,1950,0,0,26490.0,0,0,22-09-2012,92,0,45,47,52,21,20,25,2,3,1,5,120,11
689,1970,PhD,Divorced,0,2,1970,1,0,35682.0,1,0,27-06-2014,34,1,23,0,8,6,2,18,1,1,1,3,14,6
1029,1970,2n Cycle,Divorced,0,6,1970,1,1,25959.0,1,1,14-02-2013,1,2,4,2,12,7,5,26,2,1,2,2,21,7
1269,1954,Master,Married,0,2,1950,1,0,60033.0,0,1,29-03-2014,28,1,62,1,57,19,11,48,2,2,1,5,77,10
1476,1974,Master,Married,0,2,1970,0,1,63206.0,0,0,20-03-2014,65,0,750,8,125,11,8,26,1,4,3,6,144,14
27,1989,Master,Divorced,0,5,1980,0,0,10979.0,0,0,22-05-2014,34,0,8,4,10,2,2,4,2,3,0,3,16,8
1621,1961,Graduation,Single,0,6,1960,0,1,82014.0,0,0,20-08-2012,48,0,980,37,265,35,163,31,1,3,6,12,337,22
1588,1965,Graduation,Married,0,4,1960,1,0,69139.0,0,1,27-01-2014,23,1,86,12,75,33,15,6,1,4,1,5,120,11
289,1965,PhD,Divorced,0,5,1960,1,1,57912.0,0,1,17-03-2014,34,1,801,0,80,0,0,35,5,8,3,12,80,28
1127,1979,Graduation,Married,0,8,1970,1,0,7500.0,0,1,29-08-2012,61,1,5,2,3,3,0,5,1,1,0,2,8,4
1423,1965,Graduation,Married,0,1,1960,0,0,77343.0,0,0,09-06-2014,28,0,227,151,573,98,54,31,1,3,4,9,822,17
795,1955,Master,Married,0,4,1950,1,0,52750.0,0,1,04-02-2013,72,1,393,0,239,90,69,69,6,5,7,9,329,27
